"Statistic Label","Quarter","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Trips by Irish Residents","2000Q1","Domestic","All reasons for journey","Thousand","1169"
"Number of Trips by Irish Residents","2000Q1","Domestic","Holiday","Thousand","408"
"Number of Trips by Irish Residents","2000Q1","Domestic","Business","Thousand","161"
"Number of Trips by Irish Residents","2000Q1","Domestic","Visiting friends/relatives","Thousand","468"
"Number of Trips by Irish Residents","2000Q1","Domestic","Other reasons","Thousand","132"
"Number of Trips by Irish Residents","2000Q1","Outbound","All reasons for journey","Thousand","716"
"Number of Trips by Irish Residents","2000Q1","Outbound","Holiday","Thousand","344"
"Number of Trips by Irish Residents","2000Q1","Outbound","Business","Thousand","175"
"Number of Trips by Irish Residents","2000Q1","Outbound","Visiting friends/relatives","Thousand","142"
"Number of Trips by Irish Residents","2000Q1","Outbound","Other reasons","Thousand","54"
"Number of Trips by Irish Residents","2000Q2","Domestic","All reasons for journey","Thousand","1185"
"Number of Trips by Irish Residents","2000Q2","Domestic","Holiday","Thousand","554"
"Number of Trips by Irish Residents","2000Q2","Domestic","Business","Thousand","127"
"Number of Trips by Irish Residents","2000Q2","Domestic","Visiting friends/relatives","Thousand","355"
"Number of Trips by Irish Residents","2000Q2","Domestic","Other reasons","Thousand","148"
"Number of Trips by Irish Residents","2000Q2","Outbound","All reasons for journey","Thousand","1028"
"Number of Trips by Irish Residents","2000Q2","Outbound","Holiday","Thousand","642"
"Number of Trips by Irish Residents","2000Q2","Outbound","Business","Thousand","148"
"Number of Trips by Irish Residents","2000Q2","Outbound","Visiting friends/relatives","Thousand","160"
"Number of Trips by Irish Residents","2000Q2","Outbound","Other reasons","Thousand","78"
"Number of Trips by Irish Residents","2000Q3","Domestic","All reasons for journey","Thousand","1759"
"Number of Trips by Irish Residents","2000Q3","Domestic","Holiday","Thousand","1098"
"Number of Trips by Irish Residents","2000Q3","Domestic","Business","Thousand","92"
"Number of Trips by Irish Residents","2000Q3","Domestic","Visiting friends/relatives","Thousand","407"
"Number of Trips by Irish Residents","2000Q3","Domestic","Other reasons","Thousand","163"
"Number of Trips by Irish Residents","2000Q3","Outbound","All reasons for journey","Thousand","1213"
"Number of Trips by Irish Residents","2000Q3","Outbound","Holiday","Thousand","847"
"Number of Trips by Irish Residents","2000Q3","Outbound","Business","Thousand","129"
"Number of Trips by Irish Residents","2000Q3","Outbound","Visiting friends/relatives","Thousand","166"
"Number of Trips by Irish Residents","2000Q3","Outbound","Other reasons","Thousand","72"
"Number of Trips by Irish Residents","2000Q4","Domestic","All reasons for journey","Thousand","1365"
"Number of Trips by Irish Residents","2000Q4","Domestic","Holiday","Thousand","456"
"Number of Trips by Irish Residents","2000Q4","Domestic","Business","Thousand","174"
